ticker,year,mean_return_daily,median_return_daily,volatility_daily,annual_return,mean_close,mean_volume,total_volume,trading_days,sector,industry,marketcap,ev,tobins_q_proxy,roe,roa,der,revenueGrowth,earningsGrowth,beta,is_financial,is_sharia,const
ADHI,2010,0.0027582874977095445,0.0,0.029610864193448053,1.3254705549721302,401.7471428571429,14524985.314285714,3558621402.0,244,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2011,-0.0017346306330972984,0.0,0.02507453942259658,-0.34367000532582004,443.91145748987856,7369489.0,1820263783.0,247,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2012,0.004542473270070481,0.0,0.025662524856474446,2.137894929717562,690.3332520325204,10519659.414634146,2587836216.0,246,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2013,-0.000576382750075236,0.0,0.03265829930219711,-0.13543882479541525,1691.1661475409835,25741097.04918033,6280827680.0,244,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2014,0.003782722683486554,0.0,0.025153254933516066,1.30678334910123,1926.1946721311476,34565890.524590164,8434077288.0,244,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2015,-0.0007736784552807291,-0.0023619433152370917,0.028772219553104827,-0.2859703613803677,1912.4117142857142,28820613.27755102,7061050253.0,245,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2016,-0.00032989162672009907,0.0,0.02020626326189663,0.0146471448471992,2110.2802032520326,25093068.69105691,6172894898.0,246,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2017,-0.0003788781885204406,0.0,0.021329574809376202,-0.08353794356745292,1819.1770472440944,17701482.858267717,4496176646.0,254,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2018,-0.0004254845906972279,0.0,0.021501295920823216,-0.14767549557725657,1529.3417624521073,10321383.513409961,2693881097.0,261,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
ADHI,2019,-0.0010582880526050725,0.0,0.01964898168718739,-0.23893637504011211,1290.3022868217054,8923847.914728682,2302352762.0,258,Industrials,Engineering & Construction,1261141360640,9343310233600.0,0.41764233,-0.82901,-0.01937,247.473,-0.011,485.887,0.273,False,1,1
