ticker,name,sector,industry,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,returnOnEquity,returnOnAssets,debtToEquity,revenueGrowth,earningsGrowth,dividendYield,payoutRatio,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,currency
ROTI,PT Nippon Indosari Corpindo Tbk,Consumer Defensive,Packaged Foods,3429588008960,3714290548736.0,14.492754,8.545812,1.6782725,0.10853,0.05945,30.824,0.013,-0.905,13.12,1.8864999,-0.221,845.0,488.0,IDR
SKLT,PT Sekar Laut Tbk,Consumer Defensive,Packaged Foods,1079180132352,1569177337856.0,9.829545,,1.3686708,0.11632,0.05667,38.456,0.108,-0.365,4.71,0.5117,-0.171,368.0,158.0,IDR
ULTJ,PT Ultrajaya Milk Industry & Trading Company Tbk,Consumer Defensive,Beverages - Non-Alcoholic,13569618870272,10099437338624.0,9.129704,9.075104,1.5559053,0.18201,0.12235,0.462,0.218,0.359,9.89,0.3147,0.223,1725.0,1210.0,IDR
DLTA,PT Delta Djakarta Tbk,Consumer Defensive,Beverages - Brewers,1525255503872,873686827008.0,10.080432,,1.9293737,0.18124,0.088549994,0.716,0.082,0.054,9.03,0.91010004,0.147,2140.0,1815.0,IDR
MLBI,PT Multi Bintang Indonesia Tbk,Consumer Defensive,Beverages - Brewers,13274100793344,12182210215936.0,10.885717,10.631118,8.367856,0.78598,0.27837,6.596,0.132,0.175,8.87,0.9361,0.063,6550.0,5000.0,IDR
STTP,PT Siantar Top Tbk,Consumer Defensive,Packaged Foods,13100000477184,7869244112896.0,11.695907,,1.7396859,0.1599,0.089899994,,-0.039,-0.2,,0.0,0.429,11725.0,9250.0,IDR
CEKA,PT Wilmar Cahaya Indonesia Tbk.,Consumer Defensive,Packaged Foods,1231650029568,947046449152.0,7.340165,,0.59087193,0.08202,0.052020002,,0.055,-0.272,7.28,0.5319,0.19,3180.0,2010.0,IDR
ADES,PT Akasha Wira International Tbk,Consumer Defensive,Beverages - Non-Alcoholic,19968007602176,18096913907712.0,23.459536,,6.132245,0.30062,0.18457001,,0.656,0.748,,0.0,0.341,36000.0,10950.0,IDR
CLEO,PT Sariguna Primatirta Tbk,Consumer Defensive,Beverages - Non-Alcoholic,8976000352256,9263612166144.0,23.143564,6.902916,3.7892604,0.17608999,0.11432999,17.606,0.158,0.028,0.68,0.1549,-0.348,635.0,320.0,IDR
BUDI,PT Budi Starch & Sweetener Tbk,Consumer Defensive,Packaged Foods,916220477440,2897944510464.0,7.497244,,0.5805086,0.07752,0.03712,111.951,0.294,1.414,4.41,0.33080003,0.017,268.0,200.0,IDR
ALTO,PT Tri Banyan Tirta Tbk,Consumer Defensive,Beverages - Non-Alcoholic,39453667328,609944600576.0,,,0.13290901,-0.13365,-0.02279,191.36,-0.821,,,,0.03,18.0,18.0,IDR
PANI,PT Pantai Indah Kapuk Dua Tbk,Real Estate,Real Estate - Development,105078748872704,106479201812480.0,59.78149,57.84574,3.796209,0.08327,0.03302,1.562,0.815,9.871,0.09,0.041199997,-0.42,16900.0,5400.0,IDR
ADRO,PT Alamtri Resources Indonesia Tbk,Energy,Thermal Coal,65089113686016,65088715227136.0,7.315336,4.3767915,13294.117,0.10256,0.05422,19.536,0.234,0.748,10.47,1.1035,-0.285,2700.0,1625.0,IDR
