ticker,yahoo_ticker,name,sector,industry,marketCap,currency
ASII,ASII.JK,PT Astra International Tbk,Industrials,Conglomerates,184293557010432,IDR
KBLM,KBLM.JK,PT Kabelindo Murni Tbk,Industrials,Electrical Equipment & Parts,324799987712,IDR
BOLT,BOLT.JK,PT Garuda Metalindo Tbk,Industrials,Tools & Accessories,1769531113472,IDR
INDS,INDS.JK,PT Indospring Tbk,Consumer Cyclical,Auto Parts,1601249214464,IDR
GJTL,GJTL.JK,PT. Gajah Tunggal Tbk,Consumer Cyclical,Auto Parts,3832904417280,IDR
CTRA,CTRA.JK,PT Ciputra Development Tbk,Real Estate,Real Estate - Development,10287310700544,IDR
PWON,PWON.JK,PT Pakuwon Jati Tbk,Real Estate,Real Estate - Diversified,11558304350208,IDR
BSDE,BSDE.JK,PT Bumi Serpong Damai Tbk,Real Estate,Real Estate - Development,11293233774592,IDR
LPKR,LPKR.JK,PT Lippo Karawaci Tbk,Healthcare,Medical Care Facilities,4323516350464,IDR
SMRA,SMRA.JK,PT Summarecon Agung Tbk,Real Estate,Real Estate - Development,4457313599488,IDR
TIFA,TIFA.JK,PT KDB Tifa Finance Tbk,Financial Services,Credit Services,781486850048,IDR
BKSL,BKSL.JK,PT Sentul City Tbk,Real Estate,Real Estate - Development,9559407067136,IDR
LPCK,LPCK.JK,PT Lippo Cikarang Tbk,Real Estate,Real Estate - Development,2474918543360,IDR
SMGR,SMGR.JK,PT Semen Indonesia (Persero) Tbk,Basic Materials,Building Materials,9429762179072,IDR
WTON,WTON.JK,PT Wijaya Karya Beton Tbk,Basic Materials,Building Materials,601367183360,IDR
WSKT,WSKT.JK,PT Waskita Karya (Persero) Tbk,,,5818974994432,IDR
WSBP,WSBP.JK,PT Waskita Beton Precast Tbk,Basic Materials,Building Materials,797428285440,IDR
TKIM,TKIM.JK,PT Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,Paper & Paper Products,16733577412608,IDR
INKP,INKP.JK,PT Indah Kiat Pulp & Paper Tbk,Basic Materials,Paper & Paper Products,38296881201152,IDR
INRU,INRU.JK,PT Toba Pulp Lestari Tbk,Basic Materials,Paper & Paper Products,819441172480,IDR
TINS,TINS.JK,PT TIMAH Tbk,Basic Materials,Other Industrial Metals & Mining,24726539862016,IDR
BRMS,BRMS.JK,PT Bumi Resources Minerals Tbk,Basic Materials,Other Industrial Metals & Mining,67489203486720,IDR
KLBF,KLBF.JK,PT Kalbe Farma Tbk.,Healthcare,Drug Manufacturers - General,34615377002496,IDR
KAEF,KAEF.JK,PT Kimia Farma Tbk,Healthcare,Medical Distribution,2337967439872,IDR
DVLA,DVLA.JK,PT Darya-Varia Laboratoria Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,1691199995904,IDR
TSPC,TSPC.JK,PT Tempo Scan Pacific Tbk,Industrials,Conglomerates,11184463937536,IDR
SIDO,SIDO.JK,PT Industri Jamu dan Farmasi Sido Muncul Tbk,Consumer Defensive,Packaged Foods,10773282684928,IDR
MERK,MERK.JK,PT Merck Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,1639680049152,IDR
PYFA,PYFA.JK,PT Pyridam Farma Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,2090035314688,IDR
MTDL,MTDL.JK,PT Metrodata Electronics Tbk,Technology,Electronics & Computer Distribution,6199826710528,IDR
MLPT,MLPT.JK,PT Multipolar Technology Tbk,Technology,Information Technology Services,31875001221120,IDR
POWR,POWR.JK,PT Cikarang Listrindo Tbk,Utilities,Utilities - Independent Power Producers,11096050106368,IDR
EMTK,EMTK.JK,PT Elang Mahkota Teknologi Tbk,Communication Services,Broadcasting,29489966874624,IDR
BUKA,BUKA.JK,PT Bukalapak.com Tbk.,Consumer Cyclical,Internet Retail,9216030932992,IDR
GOTO,GOTO.JK,PT GoTo Gojek Tokopedia Tbk,Technology,Software - Infrastructure,53100509396992,IDR
LPKR,LPKR.JK,PT Lippo Karawaci Tbk,Healthcare,Medical Care Facilities,4323516350464,IDR
BSDE,BSDE.JK,PT Bumi Serpong Damai Tbk,Real Estate,Real Estate - Development,11293233774592,IDR
CTRA,CTRA.JK,PT Ciputra Development Tbk,Real Estate,Real Estate - Development,10287310700544,IDR
ADHI,ADHI.JK,PT Adhi Karya (Persero) Tbk,Industrials,Engineering & Construction,1261141360640,IDR
PTPP,PTPP.JK,PT PP (Persero) Tbk,Industrials,Engineering & Construction,1070064074752,IDR
WIKA,WIKA.JK,PT Wijaya Karya (Persero) Tbk,Industrials,Engineering & Construction,8133880578048,IDR
TOTL,TOTL.JK,PT Total Bangun Persada Tbk,Industrials,Engineering & Construction,3529349791744,IDR
ACST,ACST.JK,PT Acset Indonusa Tbk,Industrials,Engineering & Construction,1343312101376,IDR
